x,t,u
0.1919192,0.8080808,0.25885358
0.1919192,0.8181818,0.25627863
0.1919192,0.82828283,0.2537253
0.1919192,0.83838385,0.2511932
0.1919192,0.8484849,0.24868208
0.1919192,0.85858583,0.24619168
0.1919192,0.86868685,0.24372202
0.1919192,0.8787879,0.2412725
0.1919192,0.8888889,0.23884307
0.1919192,0.8989899,0.23643334
0.1919192,0.9090909,0.23404326
0.1919192,0.9191919,0.2316725
0.1919192,0.9292929,0.22932108
0.1919192,0.93939394,0.22698836
0.1919192,0.94949496,0.22467451
0.1919192,0.959596,0.2223792
0.1919192,0.969697,0.22010204
0.1919192,0.97979796,0.21784315
0.1919192,0.989899,0.21560217
0.1919192,1.0,0.21337865
0.2020202,0.0,0.59510857
0.2020202,0.01010101,0.58925474
0.2020202,0.02020202,0.583448
0.2020202,0.030303031,0.5776897
0.2020202,0.04040404,0.571981
0.2020202,0.05050505,0.566323
0.2020202,0.060606062,0.5607163
0.2020202,0.07070707,0.55516213
0.2020202,0.08080808,0.5496602
0.2020202,0.09090909,0.5442116
0.2020202,0.1010101,0.53881633
0.2020202,0.11111111,0.5334749
0.2020202,0.121212125,0.52818716
0.2020202,0.13131313,0.52295315
0.2020202,0.14141414,0.5177731
0.2020202,0.15151516,0.51264656
0.2020202,0.16161616,0.50757325
0.2020202,0.17171717,0.5025533
0.2020202,0.18181819,0.49758598
0.2020202,0.1919192,0.49267113
0.2020202,0.2020202,0.48780853
0.2020202,0.21212122,0.48299745
0.2020202,0.22222222,0.47823748
0.2020202,0.23232323,0.47352815
0.2020202,0.24242425,0.46886873
0.2020202,0.25252524,0.4642592
0.2020202,0.26262626,0.45969844
0.2020202,0.27272728,0.45518607
0.2020202,0.28282827,0.4507216
0.2020202,0.2929293,0.44630438
0.2020202,0.3030303,0.44193375
0.2020202,0.3131313,0.43760902
0.2020202,0.32323232,0.4333298
0.2020202,0.33333334,0.4290954
0.2020202,0.34343433,0.424905
0.2020202,0.35353535,0.4207582
0.2020202,0.36363637,0.4166544
0.2020202,0.37373737,0.4125931
0.2020202,0.3838384,0.4085732
0.2020202,0.3939394,0.40459466
0.2020202,0.4040404,0.40065658
0.2020202,0.41414142,0.39675844
0.2020202,0.42424244,0.3928998
0.2020202,0.43434343,0.38907975
0.2020202,0.44444445,0.38529807
0.2020202,0.45454547,0.38155395
0.2020202,0.46464646,0.37784714
0.2020202,0.47474748,0.37417704
0.2020202,0.4848485,0.37054265
0.2020202,0.4949495,0.36694396
0.2020202,0.50505054,0.3633802
0.2020202,0.5151515,0.35985103
0.2020202,0.5252525,0.35635582
0.2020202,0.53535354,0.35289413
0.2020202,0.5454545,0.34946567
0.2020202,0.5555556,0.34606957
0.2020202,0.56565654,0.3427056
0.2020202,0.57575756,0.3393734
0.2020202,0.5858586,0.33607244
0.2020202,0.5959596,0.33280206
0.2020202,0.6060606,0.32956207
0.2020202,0.6161616,0.32635182
0.2020202,0.62626266,0.32317114
0.2020202,0.6363636,0.32001984
0.2020202,0.64646465,0.3168968
0.2020202,0.65656567,0.31380224
0.2020202,0.6666666,0.31073564
0.2020202,0.6767677,0.30769658
0.2020202,0.68686867,0.30468464
0.2020202,0.6969697,0.30169934
0.2020202,0.7070707,0.2987407
0.2020202,0.7171717,0.29580802
0.2020202,0.72727275,0.2929012
0.2020202,0.7373737,0.2900198
0.2020202,0.7474748,0.28716332
0.2020202,0.75757575,0.28433186
0.2020202,0.7676768,0.2815246
0.2020202,0.7777778,0.27874157
0.2020202,0.78787875,0.2759825
0.2020202,0.79797983,0.27324688
0.2020202,0.8080808,0.27053455
0.2020202,0.8181818,0.26784515
0.2020202,0.82828283,0.26517853
0.2020202,0.83838385,0.26253414
0.2020202,0.8484849,0.25991213
0.2020202,0.85858583,0.257312
0.2020202,0.86868685,0.2547333
0.2020202,0.8787879,0.25217614
0.2020202,0.8888889,0.24964005
0.2020202,0.8989899,0.24712493
0.2020202,0.9090909,0.24463035
0.2020202,0.9191919,0.24215631
0.2020202,0.9292929,0.23970239
0.2020202,0.93939394,0.23726852
0.2020202,0.94949496,0.23485434
0.2020202,0.959596,0.23245957
